"id","booking_id","receipt_number","payment_date","rent_paid","electric_paid","material_paid","shed_paid","temp_receipt_number","payment_mode","cash_paid","upi_paid","event_session_id","remarks"
"43","18","","2025-10-01","0","1600","0","0",,"Cash","1600","0","1",
"44","18","","2025-10-08","0","1600","0","0",,"Cash","1600","0","1",
"45","25","867","2025-09-28","5000","0","0","0",,"UPI","0","5000","1",
"46","25","902","2025-10-05","20000","0","0","0","","UPI","0","20000","1",
"47","25","","2025-10-01","0","800","0","0",,"Cash","800","0","1",
"48","29","885","2025-09-28","5000","0","0","0",,"UPI","0","5000","1",
"49","29","917","2025-10-05","20000","0","0","0","","UPI","0","20000","1",
"50","29","","2025-10-01","0","1500","0","0",,"Cash","1500","0","1",
"51","29","","2025-10-08","0","1500","0","0",,"Cash","1500","0","1",
"52","19","894","2025-10-02","40000","0","0","0",,"UPI","0","40000","1",
"53","28","877","2025-09-28","5000","0","0","0",,"Cash","5000","0","1",
"54","28","918","2025-10-05","20000","0","0","0",,"Cash & UPI","15000","5000","1",
"55","28","","2025-10-01","0","1300","0","0",,"Cash","1300","0","1",
"56","15","881","2025-09-28","10000","0","0","0",,"Cash","10000","0","1",
"57","15","916","2025-10-05","30000","0","0","0","","Cash","30000","0","1",
"58","15","","2025-10-01","0","2000","0","0",,"Cash","2000","0","1",
"59","15","","2025-10-08","0","2800","0","0",,"Cash","2800","0","1",
"60","30","890","2025-09-28","5000","0","0","0",,"Cash & UPI","4000","1000","1",
"61","30","897","2025-10-05","15000","0","0","0",,"Cash & UPI","10000","5000","1",
"62","30","","2025-10-03","0","3900","0","0",,"Cash","3900","0","1",
"63","32","876","2025-09-28","10000","0","0","0",,"UPI","0","10000","1",
"64","32","909","2025-10-05","15000","0","0","0",,"Cash & UPI","10000","5000","1",
"65","32","","2025-10-08","0","1300","0","0",,"Cash","1300","0","1",
"66","34","887","2025-09-28","3000","0","0","0",,"Cash","3000","0","1",
"67","34","919","2025-10-05","10000","0","0","0",,"Cash","10000","0","1",
"68","20","893","2025-09-29","5000","0","0","0",,"UPI","0","5000","1",
"69","20","920","2025-10-05","7000","0","0","0",,"UPI","0","7000","1",
"70","31","883","2025-09-28","3000","0","0","0",,"UPI","0","3000","1",
"71","31","923","2025-10-05","8000","0","0","0",,"Cash","8000","0","1",
"72","31","","2025-10-01","0","1300","0","0",,"Cash","1300","0","1",
"73","35","860","2025-09-17","5000","0","0","0",,"Cash","5000","0","1",
"74","35","863","2025-09-28","3000","0","0","0",,"Cash","3000","0","1",
"75","35","899","2025-10-05","15000","0","0","0",,"Cash & UPI","8000","7000","1",
"76","21","892","2025-09-29","7000","0","0","0",,"Cash","7000","0","1",
"77","21","914","2025-10-05","10000","0","0","0","","Cash & UPI","8000","2000","1",
"78","16","874","2025-09-28","3000","0","0","0",,"Cash & UPI","2000","1000","1",
"79","16","905","2025-10-05","10000","0","0","0","","UPI","0","10000","1",
"80","16","","2025-10-01","0","1000","0","0",,"Cash","1000","0","1",
"81","16","","2025-10-08","0","1800","0","0",,"Cash","1800","0","1",
"82","17","891","2025-09-28","1000","0","0","0",,"UPI","0","1000","1",
"83","17","926","2025-10-05","7500","0","0","0",,"Cash & UPI","3500","4000","1",
"84","36","861","2025-09-17","5000","0","0","0",,"Cash","5000","0","1",
"85","36","878","2025-09-28","5000","0","0","0",,"UPI","0","5000","1",
"86","36","928","2025-10-06","10000","0","0","0","","UPI","0","10000","1",
"87","38","856","2025-09-09","40000","0","0","0",,"Cash","40000","0","1",
"88","38","857","2025-09-11","60000","0","0","0",,"Cash","60000","0","1",
"89","38","913","2025-10-05","40000","0","0","0",,"Cash","40000","0","1",
"90","38","","2025-10-01","0","3000","0","0",,"Cash","3000","0","1",
"91","38","","2025-10-08","0","2100","0","0",,"Cash","2100","0","1",
"92","22","907","2025-10-05","5000","0","0","0",,"Cash","5000","0","1",
"93","23","900","2025-10-05","6000","0","0","0",,"Cash & UPI","2000","4000","1",
"94","14","889","2025-09-28","8000","0","0","0",,"UPI","0","8000","1",
"95","14","925","2025-10-05","10000","0","0","0",,"UPI","0","10000","1",
"96","14","","2025-10-01","0","2000","0","0",,"Cash","2000","0","1",
"97","14","","2025-10-08","0","2000","0","0",,"Cash","2000","0","1",
"98","27","898","2025-10-05","3000","0","0","0",,"Cash","3000","0","1",
"99","13","858","2025-09-12","25000","0","0","0",,"Cash","25000","0","1",
"100","13","864","2025-09-28","15000","0","0","0",,"Cash","15000","0","1",
"101","13","901","2025-10-05","70000","0","0","0","","Cash","70000","0","1",
"102","37","859","2025-09-16","20000","0","0","0",,"Cash","20000","0","1",
"103","37","879","2025-09-28","20000","0","0","0",,"Cash","20000","0","1",
"104","37","915","2025-10-05","70000","0","0","0","","Cash","70000","0","1",
"105","37","","2025-10-01","0","4000","0","0",,"Cash","4000","0","1",
"106","37","","2025-10-08","0","3000","0","0",,"Cash","3000","0","1",
"107","26","862","2025-09-17","5000","0","0","0",,"Cash","5000","0","1",
"108","26","870","2025-09-28","10000","0","0","0",,"Cash & UPI","2000","8000","1",
"109","26","929","2025-10-06","20000","0","0","0",,"Cash & UPI","10000","10000","1",
"110","26","","2025-10-01","0","1000","0","0",,"Cash","1000","0","1",
"111","26","","2025-10-08","0","1000","0","0",,"Cash","1000","0","1",
"112","1","936","2025-10-12","15000","0","0","0",,"Cash & UPI","5000","10000","1",
"113","6","949","2025-10-12","15000","0","0","0",,"Cash & UPI","5000","10000","1",
"114","2","937","2025-10-12","12000","0","0","0",,"Cash & UPI","5000","7000","1",
"115","3","957","2025-10-12","12000","0","0","0",,"Cash & UPI","8000","4000","1",
"116","7","960","2025-10-12","15000","0","0","0",,"Cash","15000","0","1",
"117","8","945","2025-10-12","25000","0","0","0",,"Cash & UPI","8000","17000","1",
"118","4","933","2025-10-12","15000","0","0","0",,"Cash & UPI","10000","5000","1",
"119","5","943","2025-10-12","10000","0","0","0",,"Cash","10000","0","1",
"120","9","961","2025-10-12","10000","0","0","0",,"Cash","10000","0","1",
"121","10","946","2025-10-12","15000","0","0","0",,"UPI","0","15000","1",
"122","11","958","2025-10-12","15000","0","0","0",,"Cash & UPI","6000","9000","1",
"123","12","938","2025-10-12","15000","0","0","0",,"Cash & UPI","5000","10000","1",
"124","18","944","2025-10-12","10000","0","0","0",,"Cash","10000","0","1",
"125","25","941","2025-10-12","15000","0","0","0",,"UPI","0","15000","1",
"126","29","955","2025-10-12","15000","0","0","0",,"UPI","0","15000","1",
"127","19","950","2025-10-12","5000","0","0","0",,"UPI","0","5000","1",
"128","28","956","2025-10-12","15000","0","0","0",,"Cash & UPI","10000","5000","1",
"129","15","951","2025-10-12","20000","0","0","0",,"Cash","20000","0","1",
"130","30","931","2025-10-12","10000","0","0","0",,"Cash","10000","0","1",
"131","32","952","2025-10-12","15000","0","0","0",,"Cash & UPI","12000","3000","1",
"132","34","963","2025-10-12","10000","0","0","0",,"UPI","0","10000","1",
"133","20","959","2025-10-12","10000","0","0","0",,"Cash & UPI","5000","5000","1",
"134","31","947","2025-10-12","10000","0","0","0",,"UPI","0","10000","1",
"135","35","930","2025-10-12","5000","0","0","0",,"Cash","5000","0","1",
"136","21","954","2025-10-12","7000","0","0","0",,"Cash & UPI","3000","4000","1",
"137","16","942","2025-10-12","7000","0","0","0",,"Cash & UPI","2000","5000","1",
"138","36","940","2025-10-12","10000","0","0","0",,"UPI","0","10000","1",
"139","38","953","2025-10-12","30000","0","0","0",,"Cash","30000","0","1",
"140","23","935","2025-10-12","6000","0","0","0",,"Cash & UPI","2500","3500","1",
